,AAPL,PETR4.SA,IVVB11.SA,VALE3.SA,BTC-USD,ABEV3.SA
ever,"{'inicio': 1000000000, 'minimo': 341084958.78574705, 'maximo': 2336324261121.9355, 'final': 1911850345057.8684, 'variacao': 1910850345057.8684, 'variacao%': 191085.03450578684}","{'inicio': 1000000000, 'minimo': 847375502.9123683, 'maximo': 24738145853.990307, 'final': 20689253751.715576, 'variacao': 19689253751.715576, 'variacao%': 1968.9253751715576}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 9912093233.716843, 'final': 8951057088.294724, 'variacao': 7951057088.2947235, 'variacao%': 795.1057088294723}","{'inicio': 1000000000, 'minimo': 708333404.0517497, 'maximo': 46535929710.920616, 'final': 31468814479.575306, 'variacao': 30468814479.575306, 'variacao%': 3046.881447957531}","{'inicio': 1000000000, 'minimo': 474850195.7619934, 'maximo': 283002396827.6808, 'final': 276634410586.1964, 'variacao': 275634410586.1964, 'variacao%': 27563.44105861964}","{'inicio': 1000000000, 'minimo': 893030538.2724133, 'maximo': 66240865353.540764, 'final': 49783218828.651054, 'variacao': 48783218828.651054, 'variacao%': 4878.321882865105}"
never,"{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1000000000, 'final': 1000000000.0, 'variacao': 0.0, 'variacao%': 0.0}"
raised[i],"{'inicio': 1000000000, 'minimo': 911691170.8751204, 'maximo': 1084698736481.7948, 'final': 924518743205.1866, 'variacao': 923518743205.1866, 'variacao%': 92351.87432051866}","{'inicio': 1000000000, 'minimo': 972423702.3418396, 'maximo': 22592170053.10388, 'final': 20643154727.35018, 'variacao': 19643154727.35018, 'variacao%': 1964.3154727350184}","{'inicio': 1000000000, 'minimo': 756638554.876564, 'maximo': 1536110910.6313858, 'final': 1330642220.567299, 'variacao': 330642220.5672989, 'variacao%': 33.064222056729896}","{'inicio': 1000000000, 'minimo': 918028322.5219071, 'maximo': 22556473776.066635, 'final': 19334810813.510975, 'variacao': 18334810813.510975, 'variacao%': 1833.4810813510974}","{'inicio': 1000000000, 'minimo': 880739775.1994019, 'maximo': 31691251628.5708, 'final': 26477540668.016113, 'variacao': 25477540668.016113, 'variacao%': 2547.7540668016113}","{'inicio': 1000000000, 'minimo': 986666809.0917978, 'maximo': 18318244274.818447, 'final': 5945419644.892516, 'variacao': 4945419644.892516, 'variacao%': 494.54196448925165}"
not raised[i],"{'inicio': 1000000000, 'minimo': 10236675.715331927, 'maximo': 2162920574.141668, 'final': 2067940989.214025, 'variacao': 1067940989.214025, 'variacao%': 106.79409892140251}","{'inicio': 1000000000, 'minimo': 287397746.7791574, 'maximo': 1436981683.4711647, 'final': 1002233131.6983128, 'variacao': 2233131.6983127594, 'variacao%': 0.22331316983128513}","{'inicio': 1000000000, 'minimo': 999178264.925251, 'maximo': 7009744503.467773, 'final': 6726869754.005859, 'variacao': 5726869754.005859, 'variacao%': 572.6869754005859}","{'inicio': 1000000000, 'minimo': 451201866.4658251, 'maximo': 4014369078.9985313, 'final': 1627572922.087326, 'variacao': 627572922.087326, 'variacao%': 62.75729220873261}","{'inicio': 1000000000, 'minimo': 534660752.0079346, 'maximo': 10809049045.897598, 'final': 10447854784.063614, 'variacao': 9447854784.063614, 'variacao%': 944.7854784063613}","{'inicio': 1000000000, 'minimo': 777235917.9067024, 'maximo': 8373373400.213386, 'final': 8373373400.213386, 'variacao': 7373373400.213386, 'variacao%': 737.3373400213385}"
raised[i] or raised[i-1],"{'inicio': 1000000000, 'minimo': 889843349.3305732, 'maximo': 66311130902.75991, 'final': 51629619288.64452, 'variacao': 50629619288.64452, 'variacao%': 5062.961928864453}","{'inicio': 1000000000, 'minimo': 710587154.4247847, 'maximo': 9306563757.629684, 'final': 8496203095.134518, 'variacao': 7496203095.134518, 'variacao%': 749.6203095134518}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 5002766873.616268, 'final': 4100272852.2146263, 'variacao': 3100272852.2146263, 'variacao%': 310.02728522146265}","{'inicio': 1000000000, 'minimo': 465534200.8164277, 'maximo': 4952687839.0255375, 'final': 1198062382.7699537, 'variacao': 198062382.76995373, 'variacao%': 19.80623827699537}","{'inicio': 1000000000, 'minimo': 464279500.42518616, 'maximo': 89994363205.73093, 'final': 81260559432.06686, 'variacao': 80260559432.06686, 'variacao%': 8026.055943206687}","{'inicio': 1000000000, 'minimo': 871411903.2842993, 'maximo': 10391567119.079227, 'final': 4259996747.1912136, 'variacao': 3259996747.1912136, 'variacao%': 325.9996747191214}"
not (raised[i] or raised[i-1]),"{'inicio': 1000000000, 'minimo': 197822974.48693246, 'maximo': 38376783467.906784, 'final': 37030107248.65039, 'variacao': 36030107248.65039, 'variacao%': 3603.010724865039}","{'inicio': 1000000000, 'minimo': 944845904.75874, 'maximo': 3047521140.3452, 'final': 2435117612.9179215, 'variacao': 1435117612.9179215, 'variacao%': 143.51176129179217}","{'inicio': 1000000000, 'minimo': 985697673.113472, 'maximo': 2266034841.197315, 'final': 2183039334.043293, 'variacao': 1183039334.043293, 'variacao%': 118.3039334043293}","{'inicio': 1000000000, 'minimo': 768375715.9957254, 'maximo': 39202290856.08407, 'final': 26266423818.252495, 'variacao': 25266423818.252495, 'variacao%': 2526.6423818252497}","{'inicio': 1000000000, 'minimo': 834236674.2896729, 'maximo': 4660199386.370743, 'final': 3404254069.401993, 'variacao': 2404254069.401993, 'variacao%': 240.42540694019928}","{'inicio': 1000000000, 'minimo': 893030538.2724133, 'maximo': 12527569566.188444, 'final': 11686210519.397617, 'variacao': 10686210519.397617, 'variacao%': 1068.6210519397616}"
raised[i] and raised[i-1],"{'inicio': 1000000000, 'minimo': 868913707.3940793, 'maximo': 35929899984.33076, 'final': 30068123280.713295, 'variacao': 29068123280.713295, 'variacao%': 2906.8123280713294}","{'inicio': 1000000000, 'minimo': 924242111.3384424, 'maximo': 7072667683.261958, 'final': 7024239564.092738, 'variacao': 6024239564.092738, 'variacao%': 602.4239564092738}","{'inicio': 1000000000, 'minimo': 845699802.439537, 'maximo': 1348892320.1892014, 'final': 1302227362.0759506, 'variacao': 302227362.0759506, 'variacao%': 30.22273620759506}","{'inicio': 1000000000, 'minimo': 784835974.7464061, 'maximo': 5826974808.609765, 'final': 4685240146.093816, 'variacao': 3685240146.093816, 'variacao%': 368.52401460938154}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 63826655814.89781, 'final': 49589148680.19469, 'variacao': 48589148680.19469, 'variacao%': 4858.914868019469}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 4695245013.374711, 'final': 4057442752.1306057, 'variacao': 3057442752.1306057, 'variacao%': 305.7442752130606}"
not (raised[i] and raised[i-1]),"{'inicio': 1000000000, 'minimo': 183454445.46403962, 'maximo': 78191185382.73906, 'final': 63583959773.15712, 'variacao': 62583959773.15712, 'variacao%': 6258.395977315712}","{'inicio': 1000000000, 'minimo': 309313530.19479156, 'maximo': 3863321681.218141, 'final': 2945408312.5245433, 'variacao': 1945408312.5245433, 'variacao%': 194.54083125245432}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 8104200006.896183, 'final': 6873650907.808231, 'variacao': 5873650907.808231, 'variacao%': 587.3650907808232}","{'inicio': 1000000000, 'minimo': 680555640.3265754, 'maximo': 10332920420.734695, 'final': 6716585164.151901, 'variacao': 5716585164.151901, 'variacao%': 571.6585164151901}","{'inicio': 1000000000, 'minimo': 381498332.3796692, 'maximo': 8393054167.358795, 'final': 5578483351.51358, 'variacao': 4578483351.51358, 'variacao%': 457.848335151358}","{'inicio': 1000000000, 'minimo': 893030538.2724133, 'maximo': 15269496302.012379, 'final': 12269604726.721128, 'variacao': 11269604726.721128, 'variacao%': 1126.960472672113}"
raised[i] and not raised[i-1],"{'inicio': 1000000000, 'minimo': 975200281.7983441, 'maximo': 44099115528.6488, 'final': 30747470800.578186, 'variacao': 29747470800.578186, 'variacao%': 2974.7470800578185}","{'inicio': 1000000000, 'minimo': 863478677.3204257, 'maximo': 3556585471.9008274, 'final': 2938845467.0968246, 'variacao': 1938845467.0968246, 'variacao%': 193.88454670968244}","{'inicio': 1000000000, 'minimo': 725918599.1777306, 'maximo': 1244634467.4324455, 'final': 1021820103.0680046, 'variacao': 21820103.06800461, 'variacao%': 2.1820103068004526}","{'inicio': 1000000000, 'minimo': 982746006.356972, 'maximo': 4813659884.053296, 'final': 4126749153.870961, 'variacao': 3126749153.870961, 'variacao%': 312.6749153870962}","{'inicio': 1000000000, 'minimo': 429568271.8440552, 'maximo': 3685036299.859436, 'final': 533936144.0276489, 'variacao': -466063855.9723511, 'variacao%': -46.60638559723511}","{'inicio': 1000000000, 'minimo': 986666809.0917978, 'maximo': 4742100643.048244, 'final': 1465312026.899661, 'variacao': 465312026.89966106, 'variacao%': 46.53120268996611}"
not (raised[i] and not raised[i-1]),"{'inicio': 1000000000, 'minimo': 39092778.380126834, 'maximo': 66221492369.559425, 'final': 62179108965.72105, 'variacao': 61179108965.72105, 'variacao%': 6117.910896572105}","{'inicio': 1000000000, 'minimo': 674643497.5903869, 'maximo': 7812865040.574656, 'final': 7039925693.443369, 'variacao': 6039925693.443369, 'variacao%': 603.9925693443369}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 8759914349.054096, 'final': 8759914349.054096, 'variacao': 7759914349.054096, 'variacao%': 775.9914349054096}","{'inicio': 1000000000, 'minimo': 688331772.1555285, 'maximo': 17886635192.45772, 'final': 7625569974.683865, 'variacao': 6625569974.683865, 'variacao%': 662.5569974683865}","{'inicio': 1000000000, 'minimo': 665491263.925354, 'maximo': 597321563199.0216, 'final': 518101671652.8888, 'variacao': 517101671652.8888, 'variacao%': 51710.167165288876}","{'inicio': 1000000000, 'minimo': 893030538.2724133, 'maximo': 34478906758.88715, 'final': 33974483294.275482, 'variacao': 32974483294.275482, 'variacao%': 3297.448329427548}"
raised[i] or not raised[i-1],"{'inicio': 1000000000, 'minimo': 461670681.5606995, 'maximo': 38216931842186.14, 'final': 34235028278785.742, 'variacao': 34234028278785.742, 'variacao%': 3423402.8278785744}","{'inicio': 1000000000, 'minimo': 987991338.4452641, 'maximo': 58644142984.40638, 'final': 50268509521.414314, 'variacao': 49268509521.414314, 'variacao%': 4926.850952141432}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 3059740990.5545044, 'final': 2904844278.584442, 'variacao': 1904844278.5844421, 'variacao%': 190.4844278584442}","{'inicio': 1000000000, 'minimo': 836247798.2500064, 'maximo': 600569951450.9165, 'final': 507856337690.798, 'variacao': 506856337690.798, 'variacao%': 50685.6337690798}","{'inicio': 1000000000, 'minimo': 854529355.5725708, 'maximo': 102101068274.74506, 'final': 90137125018.41107, 'variacao': 89137125018.41107, 'variacao%': 8913.712501841106}","{'inicio': 1000000000, 'minimo': 893030538.2724133, 'maximo': 104484858584.96913, 'final': 69479425629.21571, 'variacao': 68479425629.21571, 'variacao%': 6847.942562921571}"
not (raised[i] or not raised[i-1]),"{'inicio': 1000000000, 'minimo': 21573605.079797976, 'maximo': 1131596023.7823954, 'final': 55844855.36885226, 'variacao': -944155144.6311477, 'variacao%': -94.41551446311477}","{'inicio': 1000000000, 'minimo': 208081683.06800628, 'maximo': 1000000000, 'final': 411574840.78479147, 'variacao': -588425159.2152085, 'variacao%': -58.84251592152086}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 3405907707.2033195, 'final': 3081423936.1079216, 'variacao': 2081423936.1079216, 'variacao%': 208.14239361079214}","{'inicio': 1000000000, 'minimo': 53289859.54219341, 'maximo': 1000000000, 'final': 61964013.491417885, 'variacao': -938035986.5085821, 'variacao%': -93.8035986508582}","{'inicio': 1000000000, 'minimo': 476030612.22198486, 'maximo': 3133412572.0290375, 'final': 3069017980.6071625, 'variacao': 2069017980.6071625, 'variacao%': 206.90179806071626}","{'inicio': 1000000000, 'minimo': 456616264.5512179, 'maximo': 1187993321.7988968, 'final': 716517422.1923598, 'variacao': -283482577.8076402, 'variacao%': -28.34825778076402}"
next[i],"{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 6.4774497297138765e+56, 'final': 6.4774497297138765e+56, 'variacao': 6.4774497297138765e+56, 'variacao%': 6.477449729713876e+49}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 4.542607181072716e+34, 'final': 4.542607181072716e+34, 'variacao': 4.542607181072716e+34, 'variacao%': 4.542607181072716e+27}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 863063590876646.2, 'final': 863063590876646.2, 'variacao': 863062590876646.2, 'variacao%': 86306259.08766462}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1.0272832823452051e+34, 'final': 1.0272832823452051e+34, 'variacao': 1.0272832823452051e+34, 'variacao%': 1.0272832823452052e+27}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 1.3175523663885973e+30, 'final': 1.3175523663885973e+30, 'variacao': 1.3175523663885973e+30, 'variacao%': 1.3175523663885973e+23}","{'inicio': 1000000000, 'minimo': 1000000000, 'maximo': 4.3775468039288676e+26, 'final': 4.3775468039288676e+26, 'variacao': 4.3775468039288676e+26, 'variacao%': 4.377546803928868e+19}"
